user_id,product,price,quantity,timestamp
U1428,mouse,1056.63,2,2025-08-01 00:00:00
U1460,phone,1397.77,3,2025-08-01 00:01:00
U1251,keyboard,635.85,2,2025-08-01 00:02:00
U1348,mouse,1153.72,4,2025-08-01 00:03:00
U1454,tablet,1341.55,4,2025-08-01 00:04:00
U1481,laptop,1357.63,3,2025-08-01 00:05:00
U1303,tablet,905.31,4,2025-08-01 00:06:00
U1404,laptop,1374.79,1,2025-08-01 00:07:00
U1233,tablet,1430.6,3,2025-08-01 00:08:00
U1496,phone,175.0,4,2025-08-01 00:09:00
U1480,laptop,464.09,4,2025-08-01 00:10:00
U1125,laptop,557.39,3,2025-08-01 00:11:00
U1263,keyboard,310.42,4,2025-08-01 00:12:00
U1020,phone,802.53,3,2025-08-01 00:13:00
U1174,tablet,233.55,3,2025-08-01 00:14:00
U1010,tablet,296.59,1,2025-08-01 00:15:00
U1124,mouse,151.72,1,2025-08-01 00:16:00
U1089,keyboard,1268.71,3,2025-08-01 00:17:00
U1027,mouse,1155.48,4,2025-08-01 00:18:00
U1375,keyboard,1233.72,4,2025-08-01 00:19:00
U1342,phone,1281.14,3,2025-08-01 00:20:00
U1038,mouse,1013.72,1,2025-08-01 00:21:00
U1052,mouse,1435.71,3,2025-08-01 00:22:00
U1466,tablet,427.14,2,2025-08-01 00:23:00
U1084,tablet,1460.3,4,2025-08-01 00:24:00
U1355,laptop,1494.5,1,2025-08-01 00:25:00
U1092,tablet,1428.9,4,2025-08-01 00:26:00
U1363,phone,202.61,3,2025-08-01 00:27:00
U1382,tablet,401.87,4,2025-08-01 00:28:00
U1230,mouse,1061.51,2,2025-08-01 00:29:00
U1164,phone,1229.26,1,2025-08-01 00:30:00
U1420,laptop,869.98,4,2025-08-01 00:31:00
U1243,keyboard,1474.77,4,2025-08-01 00:32:00
U1175,laptop,1362.5,1,2025-08-01 00:33:00
U1287,laptop,909.38,1,2025-08-01 00:34:00
U1133,laptop,143.51,4,2025-08-01 00:35:00
U1010,phone,1471.93,4,2025-08-01 00:36:00
U1481,phone,1052.55,1,2025-08-01 00:37:00
U1285,phone,464.83,2,2025-08-01 00:38:00
U1074,mouse,1259.59,2,2025-08-01 00:39:00
U1000,phone,1435.87,1,2025-08-01 00:40:00
U1152,keyboard,85.99,2,2025-08-01 00:41:00
U1104,tablet,894.26,4,2025-08-01 00:42:00
U1248,tablet,81.44,3,2025-08-01 00:43:00
U1329,tablet,411.31,4,2025-08-01 00:44:00
U1125,laptop,1374.03,3,2025-08-01 00:45:00
U1284,phone,277.01,2,2025-08-01 00:46:00
U1491,tablet,434.98,4,2025-08-01 00:47:00
U1200,mouse,1373.8,3,2025-08-01 00:48:00
U1289,phone,247.8,4,2025-08-01 00:49:00
U1169,mouse,963.3,3,2025-08-01 00:50:00
U1308,mouse,366.71,1,2025-08-01 00:51:00
U1256,laptop,709.96,3,2025-08-01 00:52:00
U1192,laptop,941.46,2,2025-08-01 00:53:00
U1077,laptop,134.45,2,2025-08-01 00:54:00
U1178,laptop,387.38,3,2025-08-01 00:55:00
U1044,mouse,1375.96,4,2025-08-01 00:56:00
U1491,mouse,1379.18,3,2025-08-01 00:57:00
U1438,keyboard,901.11,2,2025-08-01 00:58:00
U1202,keyboard,600.32,2,2025-08-01 00:59:00
U1368,tablet,1248.41,4,2025-08-01 01:00:00
U1156,mouse,1498.34,3,2025-08-01 01:01:00
U1208,phone,1201.94,2,2025-08-01 01:02:00
U1476,tablet,917.94,2,2025-08-01 01:03:00
U1308,mouse,1033.51,4,2025-08-01 01:04:00
U1327,tablet,1157.56,2,2025-08-01 01:05:00
U1437,laptop,1037.69,1,2025-08-01 01:06:00
U1330,laptop,167.04,1,2025-08-01 01:07:00
U1153,laptop,349.9,1,2025-08-01 01:08:00
U1205,keyboard,411.45,2,2025-08-01 01:09:00
U1062,keyboard,449.59,1,2025-08-01 01:10:00
U1430,tablet,139.5,3,2025-08-01 01:11:00
U1223,keyboard,1229.19,4,2025-08-01 01:12:00
U1279,keyboard,1310.21,3,2025-08-01 01:13:00
U1280,laptop,740.75,1,2025-08-01 01:14:00
U1045,laptop,378.82,2,2025-08-01 01:15:00
U1392,keyboard,1131.39,2,2025-08-01 01:16:00
U1061,laptop,1152.89,1,2025-08-01 01:17:00
U1160,mouse,1123.67,3,2025-08-01 01:18:00
U1479,mouse,1315.23,1,2025-08-01 01:19:00
U1334,mouse,771.72,1,2025-08-01 01:20:00
U1120,laptop,1222.19,2,2025-08-01 01:21:00
U1076,laptop,994.45,2,2025-08-01 01:22:00
U1141,mouse,1165.42,1,2025-08-01 01:23:00
U1233,mouse,1413.58,3,2025-08-01 01:24:00
U1171,laptop,189.15,3,2025-08-01 01:25:00
U1284,phone,459.05,1,2025-08-01 01:26:00
U1372,mouse,1248.16,1,2025-08-01 01:27:00
U1252,mouse,273.43,1,2025-08-01 01:28:00
U1433,laptop,329.65,2,2025-08-01 01:29:00
U1327,mouse,1042.28,3,2025-08-01 01:30:00
U1135,tablet,1418.96,2,2025-08-01 01:31:00
U1346,phone,1068.3,1,2025-08-01 01:32:00
U1322,laptop,720.2,2,2025-08-01 01:33:00
U1466,phone,434.3,4,2025-08-01 01:34:00
U1485,tablet,170.4,4,2025-08-01 01:35:00
U1244,laptop,417.4,1,2025-08-01 01:36:00
U1028,mouse,289.24,3,2025-08-01 01:37:00
U1271,mouse,1174.66,2,2025-08-01 01:38:00
U1052,laptop,253.72,3,2025-08-01 01:39:00
U1021,phone,1168.6,2,2025-08-01 01:40:00
U1465,tablet,281.48,2,2025-08-01 01:41:00
U1020,phone,498.33,2,2025-08-01 01:42:00
U1176,laptop,921.53,1,2025-08-01 01:43:00
U1074,tablet,1407.76,4,2025-08-01 01:44:00
U1352,tablet,434.6,4,2025-08-01 01:45:00
U1215,tablet,1215.27,2,2025-08-01 01:46:00
U1199,mouse,752.69,4,2025-08-01 01:47:00
U1118,tablet,580.65,4,2025-08-01 01:48:00
U1289,phone,76.63,3,2025-08-01 01:49:00
U1283,phone,1277.44,1,2025-08-01 01:50:00
U1088,tablet,1075.42,2,2025-08-01 01:51:00
U1424,keyboard,1262.1,2,2025-08-01 01:52:00
U1247,tablet,1028.97,3,2025-08-01 01:53:00
U1418,mouse,1394.04,3,2025-08-01 01:54:00
U1140,tablet,350.79,2,2025-08-01 01:55:00
U1290,laptop,442.46,2,2025-08-01 01:56:00
U1110,tablet,103.32,3,2025-08-01 01:57:00
U1182,laptop,619.75,3,2025-08-01 01:58:00
U1157,mouse,609.43,3,2025-08-01 01:59:00
U1055,mouse,193.63,2,2025-08-01 02:00:00
U1341,laptop,913.97,2,2025-08-01 02:01:00
U1422,keyboard,107.26,1,2025-08-01 02:02:00
U1270,phone,1320.94,4,2025-08-01 02:03:00
U1344,phone,1377.15,1,2025-08-01 02:04:00
U1175,tablet,1125.4,1,2025-08-01 02:05:00
U1240,keyboard,221.21,3,2025-08-01 02:06:00
U1137,phone,899.53,2,2025-08-01 02:07:00
U1448,keyboard,1168.97,2,2025-08-01 02:08:00
U1345,mouse,233.57,4,2025-08-01 02:09:00
U1083,laptop,77.67,2,2025-08-01 02:10:00
U1149,laptop,1460.75,4,2025-08-01 02:11:00
U1466,tablet,1072.18,3,2025-08-01 02:12:00
U1065,tablet,1113.76,2,2025-08-01 02:13:00
U1124,keyboard,1311.41,3,2025-08-01 02:14:00
U1481,phone,360.11,1,2025-08-01 02:15:00
U1424,keyboard,1109.09,1,2025-08-01 02:16:00
U1378,mouse,896.09,1,2025-08-01 02:17:00
U1493,phone,229.33,3,2025-08-01 02:18:00
U1456,keyboard,568.1,4,2025-08-01 02:19:00
U1260,keyboard,1025.34,3,2025-08-01 02:20:00
U1041,laptop,170.47,3,2025-08-01 02:21:00
U1222,phone,597.29,3,2025-08-01 02:22:00
U1238,phone,1328.25,2,2025-08-01 02:23:00
U1084,mouse,1348.57,3,2025-08-01 02:24:00
U1367,mouse,212.09,1,2025-08-01 02:25:00
U1317,laptop,949.55,1,2025-08-01 02:26:00
U1404,laptop,982.78,2,2025-08-01 02:27:00
U1388,keyboard,1469.16,1,2025-08-01 02:28:00
U1237,tablet,1385.21,1,2025-08-01 02:29:00
U1424,keyboard,939.44,2,2025-08-01 02:30:00
U1220,laptop,926.71,3,2025-08-01 02:31:00
U1062,mouse,482.99,4,2025-08-01 02:32:00
U1170,phone,378.5,3,2025-08-01 02:33:00
U1167,mouse,24.7,3,2025-08-01 02:34:00
U1367,phone,1452.17,2,2025-08-01 02:35:00
U1037,keyboard,697.05,3,2025-08-01 02:36:00
U1439,keyboard,737.19,4,2025-08-01 02:37:00
U1302,laptop,1494.88,4,2025-08-01 02:38:00
U1436,phone,191.47,4,2025-08-01 02:39:00
U1274,mouse,120.15,3,2025-08-01 02:40:00
U1405,mouse,880.24,4,2025-08-01 02:41:00
U1016,mouse,599.07,3,2025-08-01 02:42:00
U1317,tablet,638.36,1,2025-08-01 02:43:00
U1370,keyboard,558.98,1,2025-08-01 02:44:00
U1001,tablet,884.61,3,2025-08-01 02:45:00
U1294,mouse,1114.32,4,2025-08-01 02:46:00
U1069,laptop,493.84,1,2025-08-01 02:47:00
U1274,laptop,470.98,3,2025-08-01 02:48:00
U1055,keyboard,1174.86,4,2025-08-01 02:49:00
U1392,phone,1097.59,3,2025-08-01 02:50:00
U1218,tablet,1249.78,2,2025-08-01 02:51:00
U1456,keyboard,557.99,1,2025-08-01 02:52:00
U1301,keyboard,53.43,4,2025-08-01 02:53:00
U1366,mouse,1470.35,3,2025-08-01 02:54:00
U1480,keyboard,1224.38,3,2025-08-01 02:55:00
U1448,laptop,918.38,1,2025-08-01 02:56:00
U1335,phone,1094.13,2,2025-08-01 02:57:00
U1119,laptop,1103.6,3,2025-08-01 02:58:00
U1309,laptop,1271.08,4,2025-08-01 02:59:00
U1249,laptop,817.35,4,2025-08-01 03:00:00
U1036,phone,954.96,4,2025-08-01 03:01:00
U1176,mouse,1148.75,4,2025-08-01 03:02:00
U1097,phone,122.49,2,2025-08-01 03:03:00
U1237,keyboard,235.83,4,2025-08-01 03:04:00
U1354,phone,1058.45,4,2025-08-01 03:05:00
U1157,mouse,1156.32,1,2025-08-01 03:06:00
U1399,tablet,1215.8,2,2025-08-01 03:07:00
U1049,laptop,466.16,2,2025-08-01 03:08:00
U1252,keyboard,1137.54,2,2025-08-01 03:09:00
U1056,mouse,395.89,4,2025-08-01 03:10:00
U1368,mouse,820.95,2,2025-08-01 03:11:00
U1072,phone,757.01,2,2025-08-01 03:12:00
U1049,phone,325.85,3,2025-08-01 03:13:00
U1390,keyboard,373.06,3,2025-08-01 03:14:00
U1451,keyboard,1482.23,4,2025-08-01 03:15:00
U1430,phone,150.08,2,2025-08-01 03:16:00
